NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Evan Mobley,PF,24,34.2,15,6.2,11,56.4,0.2,0.9,22.7,2.4,3.5,67.9,9.2,2.4,0.9,1.5,2.1,9,0,17.94
D'Angelo Russell,PG,23,31.5,15,5.5,12.7,43.6,1.9,6,31.9,2,2.6,78,3.3,6.7,1.3,0.6,2.7,4,0,14.86
De'Andre Hunter,SF,21,30.9,14.9,5.4,12,44.7,1.3,3.8,35.4,2.8,3.5,80.8,4,1.1,0.3,0.1,1.3,1,0,10.94
Alperen Sengun,C,21,26.8,14.9,5.7,10.3,55.6,0.2,1,19,3.2,4.1,79.1,8.6,2.2,0.8,1,2.3,6,0,21.21
Norman Powell,SF,22,25.3,14.8,5.1,11.2,45.9,1.6,4.3,37.9,2.9,3.7,78,2.9,1.5,0.8,0.3,1.8,0,0,15.09
Josh Giddey,SG,21,30.5,14.8,6.3,14,45.4,0.9,3.1,28.8,1.2,1.7,72.2,7.6,5.5,0.6,0.5,3.2,8,1,14.27
Malik Monk,SG,22,22.3,14.7,5.4,11,48.8,2.1,5.7,36.8,1.9,2.1,89.4,2.1,4.3,0.7,0.2,1.9,0,0,19.31
Max Strus,SG,22,33,14.7,5.2,12.3,42.2,3,8.3,35.5,1.4,1.6,85.7,3.5,1.7,0.9,0.3,1.2,0,0,11.92
Kyle Lowry,PG,24,36.4,14.6,4.4,11,40.2,2.4,6.8,35.2,3.4,4,85.4,4.9,6,1,0.6,2.6,2,1,13.96
Russell Westbrook,PG,21,28,14.6,5.3,13.2,40.4,1.2,4,30.6,2.7,3.9,68.3,5.3,7.7,1,0.4,3.5,7,0,14.69
Saddiq Bey,SF,21,30.1,14.6,4.6,11.4,40.4,1.4,5.3,26.8,3.9,4.4,88.2,4.7,1.7,0.8,0.2,1.3,1,0,13.51
Jusuf Nurkic,C,21,29.7,14.5,5.5,10.7,51.1,0.7,1.7,42.9,2.8,4,70.2,10,2.8,0.7,0.9,2.4,8,0,17.95
Scottie Barnes,SF,21,33.1,14.5,5.9,13,45.3,1.2,3.9,32.1,1.4,2.1,66.7,6.8,5,1,0.9,2.5,5,1,15.47
Collin Sexton,PG,26,24.4,14.2,4.9,10,49.4,0.9,2.5,36.4,3.5,4.2,83.3,2.5,3,0.6,0.1,1.8,1,0,16.18
Luguentz Dort,SF,24,30.6,14.2,5,12.3,40.5,1.7,5.3,32,2.5,3.3,77.2,4.6,2.3,1.2,0.4,1.5,1,0,12.77
Malcolm Brogdon,PG,20,23.3,13.9,4.8,9.9,48.7,1.9,3.9,49.4,2.4,2.8,85.7,4.2,3.7,0.6,0.2,1.9,0,0,20.02
Bobby Portis,F,23,26.9,13.9,5.8,12,48.7,1.2,3.8,32.2,1,1.3,76.7,10.4,2.3,0.3,0.3,1.2,14,0,19.14
Marcus Morris Sr.,SF,23,30,13.6,5.3,11.9,44.5,2,5.4,36.8,1,1.3,74.2,4.9,2,0.8,0.3,0.9,1,0,13.15
Jarrett Allen,C,17,32,13.5,5.5,9.4,58.8,0,0.1,0,2.4,3.1,78.8,10.8,1.3,0.5,1.2,1.7,9,0,18.26
Jonas Valanciunas,C,23,23,13.4,5.1,9.2,55.5,0.7,1.6,41.7,2.6,3.1,83.1,9,2,0.3,0.3,1.9,9,0,20.96
Malik Beasley,SG,26,26.5,13.3,4.7,11.6,40.9,3.1,8.1,38.6,0.7,0.8,90,3.8,1.5,1,0.2,0.9,1,0,13.5
Harrison Barnes,SF,22,30.6,13.2,4.1,8.4,48.9,1,3.3,30.1,4,4.8,84,5.5,1.9,0.9,0.1,1.2,0,0,14.45
Rudy Gobert,C,21,30.5,13.2,4.9,7.5,65.2,0,0.1,0,3.4,4.7,71.7,11.4,0.8,0.7,1.3,1.5,7,0,19.14
Trey Murphy III,SG,21,28.4,13.2,4.5,9.3,48.2,2.4,5.9,41.1,1.8,1.9,95,4.3,1.3,1.2,0.5,0.8,1,0,16.43
Cameron Payne,PG,22,26.4,13,4.9,11.8,41.3,1.9,4.9,38.9,1.4,1.9,75.6,2.6,5.8,1,0.2,2.1,3,0,14.56
Kelly Olynyk,PF,26,28.5,13,4.5,8,56,1.6,3.4,46.6,2.5,3.1,80,5,3.2,1.3,0.7,2.2,1,0,16.44
Jakob Poeltl,C,20,27.3,12.9,5.7,8.9,64,0,0,0,1.5,2.8,51.8,9.9,3.5,0.9,1,2.4,6,0,21.13
John Wall,PG,20,22.1,12.8,4.5,10.4,43.3,0.9,3.3,27.3,2.9,4.4,66.7,2.6,5.7,0.9,0.3,2.4,1,0,17.51
Tim Hardaway Jr.,SF,22,25,12.6,4.1,11.3,36.3,2.7,7.5,35.5,1.7,2,84.4,2.5,2,0.8,0.2,0.9,0,0,13.15
Bol Bol,C,25,26.6,12.5,5.1,8.5,60.1,0.8,1.8,41.3,1.5,1.9,77.1,7.5,1,0.5,1.8,2.1,6,0,18.46
John Collins,PF,22,31.5,12.3,4.7,9.7,48.4,0.7,3.3,21.9,2.2,2.6,84.5,7.5,1.3,0.9,1.4,1.4,6,0,13.81
Eric Gordon,SG,20,30.1,12.3,4.1,9.4,43.6,1.9,5.4,35.2,2.2,2.6,86.3,2,2.6,0.7,0.4,1.9,0,0,11.44
Reggie Jackson,PG,25,29.3,12.3,4.6,10.9,42.1,1.6,4.5,34.8,1.5,1.7,88.4,2.6,4.3,0.6,0.1,2.3,1,0,10.78
Marcus Smart,PG,22,33.1,12.1,4.4,9.6,45.3,1.9,5.2,35.7,1.5,2,76.7,3.1,7.6,1.1,0.3,2.2,4,0,14.24
Tre Jones,PG,23,30.2,12.1,4.5,10.9,41.6,0.8,2.6,30.5,2.3,2.5,91.2,3.4,6.9,1.5,0.2,2,2,0,14.26
Isaiah Stewart,C,18,27.5,12,3.9,8.4,46.1,1.4,4,36.1,2.8,3.7,74.6,8.9,1.3,0.4,0.8,1.1,7,0,16.77
Jabari Smith Jr.,PF,23,30.2,11.8,3.9,10.7,36.7,2.1,6,35.5,1.9,2.2,84.3,7,0.7,0.3,1,1.1,4,0,10.18
Shake Milton,SG,20,24.3,11.8,4.6,8.8,52.3,0.9,2.3,39.1,1.7,1.9,86.8,3.4,3.6,0.4,0.2,1.9,1,0,16.14
Nic Claxton,PF,24,28,11.8,5.3,7.3,73,0,0,0,1.2,2.7,43.1,8.8,1.3,0.7,2.2,1.3,8,0,20.31
Clint Capela,C,22,27.9,11.6,5.3,8.6,61.4,0,0,0,1,1.9,56.1,12.2,0.7,0.6,1.4,1,13,0,21.5
Jaylen Nowell,SG,23,18.1,11.5,4.4,10.2,43.2,1.3,4.2,32,1.3,1.7,79.5,2.8,2,0.6,0.1,1,0,0,15.78
